row,upper_arm_left,upper_arm_left_cp,upper_arm_right,upper_arm_right_cp,lower_arm_left,lower_arm_left_cp,lower_arm_right,lower_arm_right_cp,neck,neck_cp,trunk,trunk_cp,legs,legs_cp,wrist_left,wrist_left_cp,wrist_right,wrist_right_cp
0,16.0,0.000125799982704346,54.0,8.601727585137733e-05,98.0,5.1832796721861656e-05,103.0,5.483768540324904e-05,28.0,0.00027595969111439774,9.0,7.630590691764542e-05,46.0,7.35098027353586e-05,23.0,7.204198252804744e-05,18.0,6.463381930013823e-05
1,14.0,3.844495197484877e-05,55.0,1.8741861692593885e-05,97.0,8.263063556376057e-06,103.0,8.752720981620557e-06,28.0,0.0001346113691414808,10.0,1.3256061415386497e-05,47.0,1.3745006678434823e-05,23.0,1.529080415857916e-05,19.0,1.234133273088499e-05
2,12.0,1.7117138478108103e-05,55.0,6.470001859488788e-06,97.0,2.0635386567131855e-06,103.0,2.174115855045107e-06,27.0,5.7198691100080155e-05,11.0,3.853253074367111e-06,46.0,4.019598085544706e-06,24.0,5.126835465827844e-06,20.0,4.1770949828350085e-06
3,10.0,9.377355892727765e-06,56.0,2.879937649453752e-06,96.0,6.739712459393553e-07,102.0,7.104182562770218e-07,27.0,5.526726409278806e-05,11.0,1.4714197416080646e-06,45.0,1.5646705513567839e-06,27.0,2.268624130002782e-06,17.0,1.8735231838685275e-06
4,8.0,6.4573948298549756e-06,55.0,1.5513205072614679e-06,95.0,2.6720311212222603e-07,101.0,2.8356499749696826e-07,27.0,6.411243374089094e-05,11.0,6.834743556786409e-07,43.0,7.714221459043593e-07,29.0,1.2306706044757812e-06,17.0,9.83977591977219e-07
5,6.0,5.380846297660768e-06,55.0,9.71560067744389e-07,95.0,1.235590582514674e-07,100.0,1.3461487946944935e-07,28.0,8.574515054321461e-05,11.0,3.70852674008373e-07,41.0,4.592151886034698e-07,28.0,7.872033427161743e-07,17.0,5.809807044081938e-07
6,5.0,5.303917644276427e-06,56.0,6.965512286235858e-07,95.0,6.503564648071268e-08,100.0,7.324613631404481e-08,28.0,0.00012892635983889936,11.0,2.5760032409101643e-07,40.0,3.3862005327547055e-07,27.0,5.801706015948843e-07,17.0,3.762999192956569e-07
7,4.0,6.089267064102156e-06,56.0,5.638885446193573e-07,95.0,3.834236738961195e-08,100.0,4.4924868120848247e-08,30.0,0.00011537456237655015,10.0,1.7922855454751227e-07,40.0,3.271371027654668e-07,24.0,4.855700430683477e-07,19.0,2.526911825391742e-07
8,3.0,7.304198619389007e-06,57.0,5.246728828641514e-07,94.0,2.5352653043763566e-08,100.0,3.0688837242769697e-08,30.0,0.00011265957354415937,11.0,1.2539962808631107e-07,38.0,3.960316776762258e-07,30.0,4.4823510424591407e-07,21.0,1.7509526183114516e-07
9,3.0,9.951392713135042e-06,56.0,5.661507494052802e-07,92.0,1.8430133714249547e-08,99.0,2.353636550069793e-08,30.0,6.726998830545829e-05,12.0,9.62912970579153e-08,37.0,5.926748475449664e-07,35.0,4.6223287321548843e-07,25.0,1.2506455968527952e-07
10,5.0,1.3771526761974354e-05,56.0,7.060239053213487e-07,92.0,1.4854372677970627e-08,99.0,2.0601175570745044e-08,30.0,4.4161127349041434e-05,12.0,8.076359005639158e-08,36.0,1.0147951253300464e-06,39.0,5.310470387071638e-07,29.0,8.627311984111034e-08
11,6.0,1.90531100836617e-05,55.0,1.1039161514803498e-06,90.0,1.3042168638182913e-08,100.0,2.119182761048358e-08,28.0,5.2219646187807286e-05,13.0,7.381838633844663e-08,37.0,1.9545055886207397e-06,42.0,6.797150139304513e-07,32.0,5.992295491673802e-08
12,10.0,2.9156456818281387e-05,54.0,1.8424042416072616e-06,90.0,1.2250187809412517e-08,101.0,2.2145874827788555e-08,28.0,3.8810425611816274e-05,12.0,7.353228444087822e-08,38.0,3.903014853696333e-06,48.0,9.482901590715992e-07,33.0,4.730145236585646e-08
13,13.0,4.373872714077601e-05,54.0,3.0494101549503034e-06,89.0,1.192734592092351e-08,102.0,2.3936472452074416e-08,27.0,3.067948063646435e-05,12.0,8.005109041814286e-08,40.0,7.944549008893054e-06,42.0,1.4425578246981547e-06,34.0,4.407818267804807e-08
