time rula_score rula_base_score rula_confidence neck_score neck_base_score neck_confidence neck_angle trunk_score trunk_base_score trunk_confidence trunk_angle legs_score legs_base_score legs_confidence legs_angle upper_arm_left_score upper_arm_left_base_score upper_arm_left_confidence upper_arm_left_angle upper_arm_right_score upper_arm_right_base_score upper_arm_right_confidence upper_arm_right_angle lower_arm_left_score lower_arm_left_base_score lower_arm_left_confidence lower_arm_left_angle lower_arm_right_score lower_arm_right_base_score lower_arm_right_confidence lower_arm_right_angle wrist_left_score wrist_left_base_score wrist_left_confidence wrist_left_angle wrist_right_score wrist_right_base_score wrist_right_confidence wrist_right_angle
1651579107.78039646 3.00000000 3.00000000 0.79253472 2.00000000 2.00000000 1.00000000 10.00000000 2.00000000 2.00000000 1.00000000 14.00000000 0.43750000 1.00000000 0.43750000 59.00000000 2.00000000 2.00000000 1.00000000 21.00000000 1.50000000 2.00000000 0.85416667 32.00000000 2.00000000 2.00000000 1.00000000 41.00000000 0.87500000 2.00000000 0.53125000 48.00000000 1.00000000 1.00000000 1.00000000 23.00000000 0.25000000 1.00000000 0.25000000 17.00000000
1651579107.84752870 3.00000000 3.00000000 0.70616319 2.00000000 2.00000000 0.87500000 10.00000000 2.00000000 2.00000000 0.93750000 13.00000000 0.43750000 1.00000000 0.43750000 58.00000000 2.00000000 2.00000000 0.93750000 21.00000000 1.00000000 2.00000000 0.58333333 33.00000000 2.00000000 2.00000000 0.90625000 44.00000000 0.50000000 2.00000000 0.29687500 48.00000000 1.00000000 1.00000000 1.00000000 21.00000000 0.25000000 1.00000000 0.25000000 14.00000000
1651579107.91416931 3.00000000 3.00000000 0.82378472 2.00000000 2.00000000 1.00000000 10.00000000 2.00000000 2.00000000 1.00000000 7.00000000 0.62500000 1.00000000 0.62500000 52.00000000 2.00000000 2.00000000 1.00000000 29.00000000 1.50000000 2.00000000 0.85416667 29.00000000 2.00000000 2.00000000 1.00000000 49.00000000 0.87500000 2.00000000 0.53125000 50.00000000 1.00000000 1.00000000 1.00000000 17.00000000 0.25000000 1.00000000 0.25000000 8.00000000
1651579107.98082209 3.00000000 3.00000000 0.87109375 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 5.00000000 0.62500000 1.00000000 0.62500000 45.00000000 2.00000000 2.00000000 1.00000000 30.00000000 2.00000000 2.00000000 1.00000000 31.00000000 2.00000000 2.00000000 1.00000000 51.00000000 1.62500000 2.00000000 0.76562500 51.00000000 1.00000000 1.00000000 1.00000000 17.00000000 0.43750000 1.00000000 0.43750000 7.00000000
1651579108.04756284 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 8.00000000 2.00000000 2.00000000 1.00000000 4.00000000 0.43750000 1.00000000 0.43750000 44.00000000 2.00000000 2.00000000 1.00000000 25.00000000 2.00000000 2.00000000 1.00000000 24.00000000 2.00000000 2.00000000 1.00000000 50.00000000 2.00000000 2.00000000 1.00000000 55.00000000 1.00000000 1.00000000 1.00000000 23.00000000 1.00000000 1.00000000 1.00000000 16.00000000
1651579108.11414695 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 8.00000000 2.00000000 2.00000000 1.00000000 5.00000000 0.43750000 1.00000000 0.43750000 45.00000000 2.00000000 2.00000000 1.00000000 24.00000000 2.00000000 2.00000000 1.00000000 21.00000000 2.00000000 2.00000000 1.00000000 56.00000000 1.00000000 1.00000000 1.00000000 62.00000000 1.00000000 1.00000000 1.00000000 12.00000000 2.00000000 2.00000000 1.00000000 33.00000000
1651579108.18073559 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 8.00000000 2.00000000 2.00000000 1.00000000 3.00000000 0.43750000 1.00000000 0.43750000 45.00000000 2.00000000 2.00000000 1.00000000 25.00000000 1.00000000 1.00000000 1.00000000 18.00000000 1.00000000 1.00000000 1.00000000 60.00000000 1.00000000 1.00000000 1.00000000 67.00000000 1.00000000 1.00000000 1.00000000 20.00000000 2.00000000 2.00000000 1.00000000 43.00000000
1651579108.24748611 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 5.00000000 0.43750000 1.00000000 0.43750000 43.00000000 2.00000000 2.00000000 1.00000000 23.00000000 1.00000000 1.00000000 1.00000000 19.00000000 1.00000000 1.00000000 1.00000000 62.00000000 1.00000000 1.00000000 1.00000000 71.00000000 2.00000000 2.00000000 1.00000000 29.00000000 2.00000000 2.00000000 1.00000000 51.00000000
1651579108.31415415 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 5.00000000 0.43750000 1.00000000 0.43750000 41.00000000 2.00000000 2.00000000 1.00000000 24.00000000 1.00000000 1.00000000 1.00000000 18.00000000 1.00000000 1.00000000 1.00000000 65.00000000 1.00000000 1.00000000 1.00000000 73.00000000 2.00000000 2.00000000 1.00000000 35.00000000 2.00000000 2.00000000 1.00000000 56.00000000
1651579108.38078570 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 4.00000000 0.43750000 1.00000000 0.43750000 38.00000000 2.00000000 2.00000000 1.00000000 25.00000000 1.00000000 1.00000000 1.00000000 19.00000000 1.00000000 1.00000000 1.00000000 64.00000000 1.00000000 1.00000000 1.00000000 75.00000000 2.00000000 2.00000000 1.00000000 43.00000000 2.00000000 2.00000000 1.00000000 59.00000000
1651579108.44764376 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 4.00000000 0.43750000 1.00000000 0.43750000 36.00000000 2.00000000 2.00000000 1.00000000 24.00000000 1.00000000 1.00000000 1.00000000 19.00000000 1.00000000 1.00000000 1.00000000 64.00000000 1.00000000 1.00000000 1.00000000 75.00000000 2.00000000 2.00000000 1.00000000 46.00000000 2.00000000 2.00000000 1.00000000 61.00000000
1651579108.51418996 3.00000000 3.00000000 0.90625000 1.00000000 1.00000000 1.00000000 9.00000000 2.00000000 2.00000000 1.00000000 5.00000000 0.43750000 1.00000000 0.43750000 36.00000000 2.00000000 2.00000000 1.00000000 23.00000000 1.00000000 1.00000000 1.00000000 18.00000000 1.00000000 1.00000000 1.00000000 66.00000000 1.00000000 1.00000000 1.00000000 76.00000000 2.00000000 2.00000000 1.00000000 44.00000000 2.00000000 2.00000000 1.00000000 62.00000000
