time rula_score rula_base_score rula_confidence neck_score neck_base_score neck_confidence neck_angle trunk_score trunk_base_score trunk_confidence trunk_angle legs_score legs_base_score legs_confidence legs_angle upper_arm_left_score upper_arm_left_base_score upper_arm_left_confidence upper_arm_left_angle upper_arm_right_score upper_arm_right_base_score upper_arm_right_confidence upper_arm_right_angle lower_arm_left_score lower_arm_left_base_score lower_arm_left_confidence lower_arm_left_angle lower_arm_right_score lower_arm_right_base_score lower_arm_right_confidence lower_arm_right_angle wrist_left_score wrist_left_base_score wrist_left_confidence wrist_left_angle wrist_right_score wrist_right_base_score wrist_right_confidence wrist_right_angle
1643632857.17167592 5.00000000 5.00000000 0.90625000 4.00000000 4.00000000 1.00000000 23.00000000 2.00000000 2.00000000 1.00000000 14.00000000 0.43750000 1.00000000 0.43750000 51.00000000 2.00000000 2.00000000 1.00000000 29.00000000 3.00000000 3.00000000 1.00000000 50.00000000 3.00000000 3.00000000 1.00000000 18.00000000 2.00000000 2.00000000 1.00000000 55.00000000 1.00000000 1.00000000 1.00000000 18.00000000 1.00000000 1.00000000 1.00000000 24.00000000
1643632857.23838639 5.00000000 5.00000000 0.90625000 4.00000000 4.00000000 1.00000000 24.00000000 2.00000000 2.00000000 1.00000000 20.00000000 0.43750000 1.00000000 0.43750000 49.00000000 2.00000000 2.00000000 1.00000000 27.00000000 3.00000000 3.00000000 1.00000000 51.00000000 3.00000000 3.00000000 1.00000000 20.00000000 2.00000000 2.00000000 1.00000000 51.00000000 1.00000000 1.00000000 1.00000000 24.00000000 2.00000000 2.00000000 1.00000000 27.00000000
1643632857.30504537 5.00000000 5.00000000 0.83984375 4.00000000 4.00000000 1.00000000 23.00000000 2.00000000 2.00000000 1.00000000 16.00000000 0.43750000 1.00000000 0.43750000 50.00000000 2.00000000 2.00000000 1.00000000 25.00000000 3.00000000 3.00000000 1.00000000 46.00000000 3.00000000 3.00000000 1.00000000 30.00000000 1.62500000 2.00000000 0.76562500 52.00000000 2.00000000 2.00000000 1.00000000 25.00000000 0.43750000 1.00000000 0.43750000 22.00000000
1643632857.37173915 3.00000000 3.00000000 0.70616319 3.00000000 3.00000000 0.87500000 20.00000000 2.00000000 2.00000000 0.93750000 13.00000000 0.43750000 1.00000000 0.43750000 54.00000000 2.00000000 2.00000000 0.93750000 24.00000000 1.00000000 2.00000000 0.58333333 42.00000000 2.00000000 2.00000000 0.90625000 41.00000000 0.50000000 2.00000000 0.29687500 55.00000000 1.00000000 1.00000000 1.00000000 21.00000000 0.25000000 1.00000000 0.25000000 21.00000000
1643632857.43844151 3.00000000 3.00000000 0.79253472 3.00000000 3.00000000 1.00000000 20.00000000 2.00000000 2.00000000 1.00000000 8.00000000 0.43750000 1.00000000 0.43750000 53.00000000 1.00000000 1.00000000 1.00000000 19.00000000 1.50000000 2.00000000 0.85416667 42.00000000 2.00000000 2.00000000 1.00000000 47.00000000 0.87500000 2.00000000 0.53125000 55.00000000 1.00000000 1.00000000 1.00000000 5.00000000 0.25000000 1.00000000 0.25000000 19.00000000
1643632857.50517511 3.00000000 3.00000000 0.83984375 3.00000000 3.00000000 1.00000000 20.00000000 2.00000000 2.00000000 1.00000000 9.00000000 0.43750000 1.00000000 0.43750000 54.00000000 1.00000000 1.00000000 1.00000000 15.00000000 2.00000000 2.00000000 1.00000000 44.00000000 2.00000000 2.00000000 1.00000000 52.00000000 1.62500000 2.00000000 0.76562500 54.00000000 1.00000000 1.00000000 1.00000000 11.00000000 0.87500000 2.00000000 0.43750000 25.00000000
1643632857.57183862 3.00000000 3.00000000 0.90625000 3.00000000 3.00000000 1.00000000 21.00000000 2.00000000 2.00000000 1.00000000 11.00000000 0.43750000 1.00000000 0.43750000 54.00000000 1.00000000 1.00000000 1.00000000 17.00000000 2.00000000 2.00000000 1.00000000 37.00000000 2.00000000 2.00000000 1.00000000 55.00000000 1.00000000 1.00000000 1.00000000 61.00000000 1.00000000 1.00000000 1.00000000 24.00000000 2.00000000 2.00000000 1.00000000 35.00000000
1643632857.63851714 3.00000000 3.00000000 0.90625000 3.00000000 3.00000000 1.00000000 21.00000000 2.00000000 2.00000000 1.00000000 11.00000000 0.43750000 1.00000000 0.43750000 51.00000000 1.00000000 1.00000000 1.00000000 16.00000000 2.00000000 2.00000000 1.00000000 29.00000000 2.00000000 2.00000000 1.00000000 54.00000000 2.00000000 2.00000000 1.00000000 43.00000000 2.00000000 2.00000000 1.00000000 34.00000000 2.00000000 2.00000000 1.00000000 53.00000000
1643632857.70517921 3.00000000 3.00000000 0.90625000 3.00000000 3.00000000 1.00000000 20.00000000 2.00000000 2.00000000 1.00000000 11.00000000 0.43750000 1.00000000 0.43750000 49.00000000 1.00000000 1.00000000 1.00000000 13.00000000 2.00000000 2.00000000 1.00000000 26.00000000 2.00000000 2.00000000 1.00000000 46.00000000 2.00000000 2.00000000 1.00000000 30.00000000 2.00000000 2.00000000 1.00000000 45.00000000 2.00000000 2.00000000 1.00000000 62.00000000
1643632857.77185893 4.00000000 4.00000000 0.90625000 2.00000000 2.00000000 1.00000000 19.00000000 3.00000000 3.00000000 1.00000000 11.00000000 0.43750000 1.00000000 0.43750000 50.00000000 1.00000000 1.00000000 1.00000000 10.00000000 2.00000000 2.00000000 1.00000000 24.00000000 2.00000000 2.00000000 1.00000000 40.00000000 2.00000000 2.00000000 1.00000000 21.00000000 2.00000000 2.00000000 1.00000000 52.00000000 2.00000000 2.00000000 1.00000000 65.00000000
