time rula_score rula_base_score rula_confidence neck_score neck_base_score neck_confidence neck_angle trunk_score trunk_base_score trunk_confidence trunk_angle legs_score legs_base_score legs_confidence legs_angle upper_arm_left_score upper_arm_left_base_score upper_arm_left_confidence upper_arm_left_angle upper_arm_right_score upper_arm_right_base_score upper_arm_right_confidence upper_arm_right_angle lower_arm_left_score lower_arm_left_base_score lower_arm_left_confidence lower_arm_left_angle lower_arm_right_score lower_arm_right_base_score lower_arm_right_confidence lower_arm_right_angle wrist_left_score wrist_left_base_score wrist_left_confidence wrist_left_angle wrist_right_score wrist_right_base_score wrist_right_confidence wrist_right_angle
1651579268.43844914 2.00000000 3.00000000 0.58463542 1.62500000 2.00000000 0.81250000 11.00000000 1.00000000 2.00000000 0.45833333 18.00000000 0.25000000 1.00000000 0.25000000 45.00000000 1.00000000 1.00000000 0.93750000 11.00000000 1.00000000 2.00000000 0.58333333 42.00000000 2.00000000 2.00000000 0.90625000 28.00000000 0.50000000 2.00000000 0.29687500 41.00000000 2.00000000 2.00000000 1.00000000 34.00000000 0.25000000 1.00000000 0.25000000 17.00000000
1651579268.50497985 2.00000000 3.00000000 0.58463542 1.62500000 2.00000000 0.81250000 11.00000000 1.00000000 2.00000000 0.45833333 18.00000000 0.25000000 1.00000000 0.25000000 45.00000000 1.00000000 1.00000000 0.93750000 10.00000000 1.00000000 2.00000000 0.58333333 42.00000000 2.00000000 2.00000000 0.90625000 26.00000000 0.50000000 2.00000000 0.29687500 40.00000000 2.00000000 2.00000000 1.00000000 31.00000000 0.25000000 1.00000000 0.25000000 18.00000000
1651579268.57182336 2.00000000 3.00000000 0.58463542 1.62500000 2.00000000 0.81250000 11.00000000 1.00000000 2.00000000 0.45833333 19.00000000 0.25000000 1.00000000 0.25000000 44.00000000 1.00000000 1.00000000 0.93750000 11.00000000 1.00000000 2.00000000 0.58333333 43.00000000 2.00000000 2.00000000 0.90625000 24.00000000 0.50000000 2.00000000 0.29687500 39.00000000 2.00000000 2.00000000 1.00000000 28.00000000 0.25000000 1.00000000 0.25000000 17.00000000
1651579268.63838792 2.00000000 3.00000000 0.58463542 1.62500000 2.00000000 0.81250000 10.00000000 1.00000000 2.00000000 0.45833333 19.00000000 0.25000000 1.00000000 0.25000000 43.00000000 1.00000000 1.00000000 0.93750000 11.00000000 1.00000000 2.00000000 0.58333333 43.00000000 2.00000000 2.00000000 0.90625000 22.00000000 0.50000000 2.00000000 0.29687500 38.00000000 1.00000000 1.00000000 1.00000000 24.00000000 0.25000000 1.00000000 0.25000000 17.00000000
1651579268.70501876 2.00000000 3.00000000 0.58463542 1.62500000 2.00000000 0.81250000 11.00000000 1.00000000 2.00000000 0.45833333 18.00000000 0.25000000 1.00000000 0.25000000 42.00000000 1.00000000 1.00000000 0.93750000 10.00000000 1.00000000 2.00000000 0.58333333 42.00000000 2.00000000 2.00000000 0.90625000 20.00000000 0.50000000 2.00000000 0.29687500 37.00000000 1.00000000 1.00000000 1.00000000 21.00000000 0.25000000 1.00000000 0.25000000 16.00000000
1651579268.77167010 2.00000000 3.00000000 0.58463542 1.62500000 2.00000000 0.81250000 12.00000000 1.00000000 2.00000000 0.45833333 16.00000000 0.25000000 1.00000000 0.25000000 40.00000000 1.00000000 1.00000000 0.93750000 9.00000000 1.00000000 2.00000000 0.58333333 41.00000000 2.00000000 2.00000000 0.90625000 18.00000000 0.50000000 2.00000000 0.29687500 37.00000000 1.00000000 1.00000000 1.00000000 23.00000000 0.25000000 1.00000000 0.25000000 13.00000000
1651579268.83832622 2.00000000 3.00000000 0.58463542 1.62500000 2.00000000 0.81250000 13.00000000 1.00000000 2.00000000 0.45833333 15.00000000 0.25000000 1.00000000 0.25000000 39.00000000 1.00000000 1.00000000 0.93750000 9.00000000 1.00000000 2.00000000 0.58333333 41.00000000 2.81250000 3.00000000 0.90625000 17.00000000 0.50000000 2.00000000 0.29687500 37.00000000 1.00000000 1.00000000 1.00000000 22.00000000 0.25000000 1.00000000 0.25000000 9.00000000
1651579268.90485597 2.00000000 3.00000000 0.66970486 2.00000000 2.00000000 0.87500000 14.00000000 2.00000000 2.00000000 0.81250000 15.00000000 0.34375000 1.00000000 0.34375000 39.00000000 1.00000000 1.00000000 0.93750000 9.00000000 1.00000000 2.00000000 0.58333333 41.00000000 2.81250000 3.00000000 0.90625000 16.00000000 0.50000000 2.00000000 0.29687500 37.00000000 1.00000000 1.00000000 1.00000000 22.00000000 0.25000000 1.00000000 0.25000000 7.00000000
1651579268.97146606 2.00000000 3.00000000 0.63324653 2.00000000 2.00000000 0.87500000 14.00000000 2.00000000 2.00000000 0.68750000 15.00000000 0.25000000 1.00000000 0.25000000 38.00000000 1.00000000 1.00000000 0.93750000 8.00000000 1.00000000 2.00000000 0.58333333 41.00000000 2.81250000 3.00000000 0.90625000 16.00000000 0.50000000 2.00000000 0.29687500 38.00000000 1.00000000 1.00000000 1.00000000 22.00000000 0.25000000 1.00000000 0.25000000 5.00000000
1651579269.03816724 2.00000000 3.00000000 0.58463542 1.62500000 2.00000000 0.81250000 15.00000000 1.00000000 2.00000000 0.45833333 14.00000000 0.25000000 1.00000000 0.25000000 41.00000000 1.00000000 1.00000000 0.93750000 7.00000000 1.00000000 2.00000000 0.58333333 41.00000000 2.81250000 3.00000000 0.90625000 15.00000000 0.50000000 2.00000000 0.29687500 38.00000000 1.00000000 1.00000000 1.00000000 19.00000000 0.25000000 1.00000000 0.25000000 9.00000000
1651579269.10477018 2.00000000 3.00000000 0.63324653 2.00000000 2.00000000 0.87500000 15.00000000 2.00000000 2.00000000 0.68750000 12.00000000 0.25000000 1.00000000 0.25000000 42.00000000 1.00000000 1.00000000 0.93750000 7.00000000 1.00000000 2.00000000 0.58333333 39.00000000 2.81250000 3.00000000 0.90625000 15.00000000 0.50000000 2.00000000 0.29687500 38.00000000 1.00000000 1.00000000 1.00000000 15.00000000 0.25000000 1.00000000 0.25000000 15.00000000
1651579269.17145038 2.00000000 3.00000000 0.58463542 1.62500000 2.00000000 0.81250000 15.00000000 1.00000000 2.00000000 0.45833333 12.00000000 0.25000000 1.00000000 0.25000000 43.00000000 1.00000000 1.00000000 0.93750000 7.00000000 1.00000000 2.00000000 0.58333333 38.00000000 2.81250000 3.00000000 0.90625000 16.00000000 0.50000000 2.00000000 0.29687500 38.00000000 1.00000000 1.00000000 1.00000000 13.00000000 0.25000000 1.00000000 0.25000000 20.00000000
1651579269.23809600 2.00000000 3.00000000 0.58463542 1.62500000 2.00000000 0.81250000 15.00000000 1.00000000 2.00000000 0.45833333 11.00000000 0.25000000 1.00000000 0.25000000 43.00000000 1.00000000 1.00000000 0.93750000 7.00000000 1.00000000 2.00000000 0.58333333 38.00000000 2.81250000 3.00000000 0.90625000 16.00000000 0.50000000 2.00000000 0.29687500 38.00000000 1.00000000 1.00000000 1.00000000 13.00000000 0.50000000 2.00000000 0.25000000 25.00000000
1651579269.30468702 2.00000000 3.00000000 0.58463542 1.62500000 2.00000000 0.81250000 15.00000000 1.00000000 2.00000000 0.45833333 11.00000000 0.25000000 1.00000000 0.25000000 42.00000000 1.00000000 1.00000000 0.93750000 7.00000000 1.00000000 2.00000000 0.58333333 37.00000000 2.81250000 3.00000000 0.90625000 16.00000000 0.50000000 2.00000000 0.29687500 37.00000000 1.00000000 1.00000000 1.00000000 15.00000000 0.50000000 2.00000000 0.25000000 28.00000000
1651579269.37133455 2.00000000 3.00000000 0.73741319 2.00000000 2.00000000 0.87500000 14.00000000 2.00000000 2.00000000 0.93750000 12.00000000 0.62500000 1.00000000 0.62500000 41.00000000 1.00000000 1.00000000 0.93750000 7.00000000 1.00000000 2.00000000 0.58333333 37.00000000 2.00000000 2.00000000 0.90625000 18.00000000 0.50000000 2.00000000 0.29687500 37.00000000 1.00000000 1.00000000 1.00000000 19.00000000 0.50000000 2.00000000 0.25000000 31.00000000
1651579269.43787098 2.00000000 3.00000000 0.70616319 2.00000000 2.00000000 0.87500000 14.00000000 2.00000000 2.00000000 0.93750000 12.00000000 0.43750000 1.00000000 0.43750000 39.00000000 1.00000000 1.00000000 0.93750000 7.00000000 1.00000000 2.00000000 0.58333333 36.00000000 2.00000000 2.00000000 0.90625000 18.00000000 0.50000000 2.00000000 0.29687500 36.00000000 1.00000000 1.00000000 1.00000000 21.00000000 0.50000000 2.00000000 0.25000000 34.00000000
1651579269.50457501 2.00000000 3.00000000 0.70616319 2.00000000 2.00000000 0.87500000 15.00000000 2.00000000 2.00000000 0.93750000 11.00000000 0.43750000 1.00000000 0.43750000 37.00000000 1.00000000 1.00000000 0.93750000 9.00000000 1.00000000 2.00000000 0.58333333 33.00000000 2.00000000 2.00000000 0.90625000 18.00000000 0.50000000 2.00000000 0.29687500 34.00000000 2.00000000 2.00000000 1.00000000 27.00000000 0.50000000 2.00000000 0.25000000 38.00000000
1651579269.57132888 2.00000000 3.00000000 0.70616319 2.00000000 2.00000000 0.87500000 14.00000000 2.00000000 2.00000000 0.93750000 8.00000000 0.43750000 1.00000000 0.43750000 34.00000000 1.00000000 1.00000000 0.93750000 8.00000000 1.00000000 2.00000000 0.58333333 33.00000000 2.00000000 2.00000000 0.90625000 29.00000000 0.50000000 2.00000000 0.29687500 36.00000000 1.00000000 1.00000000 1.00000000 19.00000000 0.50000000 2.00000000 0.25000000 33.00000000
1651579269.63808489 2.00000000 3.00000000 0.73741319 2.00000000 2.00000000 0.87500000 13.00000000 2.00000000 2.00000000 0.93750000 10.00000000 0.62500000 1.00000000 0.62500000 35.00000000 1.00000000 1.00000000 0.93750000 8.00000000 1.00000000 2.00000000 0.58333333 33.00000000 2.00000000 2.00000000 0.90625000 37.00000000 0.50000000 2.00000000 0.29687500 40.00000000 1.00000000 1.00000000 1.00000000 22.00000000 0.50000000 2.00000000 0.25000000 32.00000000
1651579269.70496631 3.00000000 3.00000000 0.89062500 2.00000000 2.00000000 1.00000000 11.00000000 2.00000000 2.00000000 1.00000000 10.00000000 0.43750000 1.00000000 0.43750000 35.00000000 1.00000000 1.00000000 1.00000000 7.00000000 2.00000000 2.00000000 1.00000000 38.00000000 2.00000000 2.00000000 1.00000000 41.00000000 2.00000000 2.00000000 1.00000000 32.00000000 2.00000000 2.00000000 1.00000000 36.00000000 1.62500000 2.00000000 0.81250000 40.00000000
